area_danji_id,danji_room_type_id,local1
68524,390145,경기도
68524,390146,경기도
68524,390147,경기도
68525,408779,경기도
68525,408780,경기도
68525,408781,경기도
68525,408782,경기도
68525,408783,경기도
68525,408784,경기도
68525,408785,경기도
68525,408786,경기도
68528,244792,경기도
68528,244793,경기도
68532,242925,경기도
68533,241445,경기도
68533,241447,경기도
68533,241448,경기도
68533,241451,경기도
68534,243198,경기도
68534,243199,경기도
68537,242463,경기도
68537,242464,경기도
68537,242465,경기도
68537,242466,경기도
68537,242467,경기도
68538,240297,경기도
68538,240298,경기도
68539,242908,경기도
68539,242909,경기도
68539,242910,경기도
68539,242911,경기도
68539,242912,경기도
68539,242913,경기도
68540,243827,경기도
68540,243828,경기도
68540,243829,경기도
68540,243830,경기도
68540,243831,경기도
68541,239500,경기도
68541,239502,경기도
68542,241558,경기도
68542,241559,경기도
68542,241560,경기도
68673,239304,경기도
68673,239305,경기도
68673,241217,경기도
68673,241220,경기도
68678,238133,경기도
68678,238134,경기도
68678,238135,경기도
68678,238136,경기도
68678,241222,경기도
68678,241223,경기도
68717,237743,경기도
68717,237744,경기도
68717,237745,경기도
68717,237746,경기도
68717,237747,경기도
68789,244294,경기도
68789,244295,경기도
68790,237311,경기도
68790,237314,경기도
68790,237315,경기도
68790,248816,경기도
68790,248817,경기도
68790,248818,경기도
68794,420771,경기도
68794,420772,경기도
68794,420773,경기도
68794,420774,경기도
68794,420775,경기도
68841,408070,경기도
68841,408071,경기도
68841,408072,경기도
68841,408073,경기도
68841,408074,경기도
68841,408075,경기도
68841,408076,경기도
68841,408077,경기도
68841,408078,경기도
68904,427345,경기도
68904,427346,경기도
68904,427347,경기도
68904,427348,경기도
68904,427349,경기도
68904,427350,경기도
68904,427351,경기도
68904,427352,경기도
68904,427353,경기도
68904,427354,경기도
68904,427355,경기도
68904,427356,경기도
68904,427357,경기도
68904,427358,경기도
68904,427359,경기도
68909,329047,경기도
68909,329048,경기도
68909,329049,경기도
68909,329050,경기도
68920,330010,경기도
68920,330011,경기도
68920,330013,경기도
68920,330014,경기도
68920,330015,경기도
68997,408026,경기도
68997,408027,경기도
68997,408028,경기도
69008,239299,경기도
69008,239300,경기도
69008,239301,경기도
69009,246584,경기도
69009,246585,경기도
69009,246586,경기도
69024,239482,경기도
69025,240104,경기도
69025,240105,경기도
69025,240106,경기도
69025,240107,경기도
69025,240108,경기도
69026,240099,경기도
69026,240100,경기도
69026,240101,경기도
69026,240102,경기도
69026,240103,경기도
69277,413978,경기도
69277,413979,경기도
69277,413980,경기도
69277,413981,경기도
69277,413982,경기도
69277,413983,경기도
69277,413984,경기도
69277,413985,경기도
69277,413986,경기도
69277,413987,경기도
69277,413988,경기도
69277,413989,경기도
69277,413990,경기도
69277,413991,경기도
69277,413992,경기도
69277,413993,경기도
69277,413994,경기도
69277,413995,경기도
69788,239326,경기도
69788,239327,경기도
69788,239328,경기도
69788,239329,경기도
69788,239332,경기도
69788,239333,경기도
70103,237717,경기도
70103,237718,경기도
70109,237719,경기도
70109,237721,경기도
70109,237722,경기도
70138,237901,경기도
70138,237903,경기도
70138,237904,경기도
70138,237905,경기도
70142,237916,경기도
70142,237917,경기도
70142,237918,경기도
70142,237919,경기도
70145,237927,경기도
70145,237928,경기도
70162,237955,경기도
70162,237956,경기도
70173,238786,경기도
70173,238787,경기도
70173,238788,경기도
70173,238789,경기도
70173,238790,경기도
70173,238791,경기도
70173,238792,경기도
70173,238793,경기도
70173,238794,경기도
70173,238795,경기도
70173,238796,경기도
70173,238797,경기도
70173,238798,경기도
70173,238799,경기도
70173,238800,경기도
70173,238801,경기도
70173,238802,경기도
70173,238803,경기도
70173,238804,경기도
70173,238805,경기도
70173,238806,경기도
70173,238807,경기도
70173,238808,경기도
70173,238809,경기도
70173,238810,경기도
70173,238811,경기도
70173,238812,경기도
70173,417232,경기도
70244,238070,경기도
70244,238072,경기도
70244,238073,경기도
70244,238074,경기도
70244,238075,경기도
70244,388808,경기도
70371,388270,경기도
70371,388271,경기도
70371,388272,경기도
70371,388273,경기도
70371,388274,경기도
70371,388275,경기도
70499,368451,경기도
70499,368452,경기도
70499,368453,경기도
70499,368454,경기도
70500,426121,경기도
70500,426122,경기도
70500,426123,경기도
70543,325639,경기도
70543,325640,경기도
70543,325641,경기도
70543,325642,경기도
70543,325643,경기도
70567,424816,경기도
70567,424817,경기도
70567,424818,경기도
70567,424819,경기도
70567,424820,경기도
70567,424821,경기도
70567,424822,경기도
70567,424823,경기도
70633,421196,경기도
70633,421197,경기도
70633,421198,경기도
70633,421199,경기도
70633,421200,경기도
70633,421201,경기도
70633,421202,경기도
70633,421203,경기도
70633,421204,경기도
70633,421205,경기도
70728,420498,경기도
70728,420499,경기도
70728,420500,경기도
70728,420501,경기도
70728,420502,경기도
70728,420503,경기도
70728,420504,경기도
70728,420505,경기도
70831,241007,경기도
70831,241008,경기도
70831,241009,경기도
70937,400506,경기도
70937,400507,경기도
70937,400508,경기도
70939,424801,경기도
70939,424802,경기도
70939,424803,경기도
70939,424804,경기도
70939,424805,경기도
70939,424806,경기도
70939,424807,경기도
70958,424798,경기도
71008,421191,경기도
71008,421192,경기도
71008,421193,경기도
71158,420333,경기도
71158,420334,경기도
71158,420335,경기도
71158,420336,경기도
71430,421206,경기도
71430,421207,경기도
71454,327067,경기도
71454,327068,경기도
71454,327069,경기도
71454,327070,경기도
71454,327071,경기도
71454,327072,경기도
71454,327073,경기도
71516,426139,경기도
71516,426140,경기도
71516,426141,경기도
71516,426142,경기도
71582,420496,경기도
71582,420497,경기도
71646,424799,경기도
71646,424800,경기도
71689,328524,경기도
71689,328525,경기도
71689,328526,경기도
71789,421194,경기도
71789,421195,경기도
71994,426493,경기도
71994,426494,경기도
71994,426495,경기도
71995,395993,경기도
71995,395994,경기도
71995,395995,경기도
71995,395996,경기도
71995,395997,경기도
71995,395998,경기도
72169,417372,경기도
72169,417373,경기도
72169,417374,경기도
72190,240314,경기도
72190,240315,경기도
72262,326127,경기도
72262,326129,경기도
72307,420329,경기도
72307,420330,경기도
72307,420331,경기도
72307,420332,경기도
72345,427494,경기도
72345,427495,경기도
72381,324935,경기도
72381,324937,경기도
72381,324938,경기도
72381,324939,경기도
72381,324940,경기도
72381,324941,경기도
72477,239449,경기도
72502,242354,경기도
72502,242355,경기도
72502,242356,경기도
72502,242358,경기도
72502,242359,경기도
72502,242360,경기도
72543,247811,경기도
72543,247812,경기도
72543,247813,경기도
72543,247814,경기도
72543,247816,경기도
72543,247817,경기도
72543,247818,경기도
72580,427570,경기도
72580,427571,경기도
72580,427572,경기도
72580,427573,경기도
72580,427574,경기도
72580,427575,경기도
72650,408169,경기도
72650,408170,경기도
72650,408171,경기도
72650,408172,경기도
