area_danji_id,danji_room_type_id,local1
6,18,경기도
6,21,경기도
8,28,경기도
9,30,경기도
9,31,경기도
13,42,경기도
13,43,경기도
13,44,경기도
15,48,경기도
18,58,경기도
19,63,경기도
21,71,경기도
23,76,경기도
25,25513,경기도
25,25514,경기도
25,25515,경기도
25,25516,경기도
25,25517,경기도
25,25518,경기도
27,25519,경기도
29,25521,경기도
29,25522,경기도
29,25523,경기도
36,98,경기도
37,146606,경기도
37,146608,경기도
37,146609,경기도
37,146610,경기도
37,146611,경기도
38,107,경기도
38,108,경기도
45,124,경기도
45,127,경기도
57,25536,경기도
58,25538,경기도
59,25539,경기도
59,25540,경기도
59,25541,경기도
59,25542,경기도
59,25543,경기도
59,25544,경기도
59,25545,경기도
59,25546,경기도
59,25547,경기도
60,228560,경기도
76,171,경기도
77,174,경기도
78,146617,경기도
78,146618,경기도
85,188,경기도
85,190,경기도
85,198,경기도
94,227,경기도
98,237,경기도
102,246,경기도
105,252,경기도
109,259,경기도
109,260,경기도
109,263,경기도
109,265,경기도
109,266,경기도
109,267,경기도
109,268,경기도
110,270,경기도
110,271,경기도
110,272,경기도
112,277,경기도
114,284,경기도
155,376,경기도
155,377,경기도
155,378,경기도
156,381,경기도
156,385,경기도
159,394,경기도
160,399,경기도
161,401,경기도
161,402,경기도
162,403,경기도
162,404,경기도
162,405,경기도
162,407,경기도
162,409,경기도
163,411,경기도
163,412,경기도
163,413,경기도
164,414,경기도
169,25613,경기도
169,25614,경기도
169,25615,경기도
170,421,경기도
178,431,경기도
178,432,경기도
182,443,경기도
182,444,경기도
182,445,경기도
207,516,경기도
207,518,경기도
216,529,경기도
220,533,경기도
220,535,경기도
226,543,경기도
236,555,경기도
236,556,경기도
245,565,경기도
245,566,경기도
246,569,경기도
250,25687,경기도
250,25689,경기도
251,25691,경기도
253,579,경기도
254,581,경기도
254,583,경기도
267,607,경기도
268,609,경기도
268,610,경기도
268,611,경기도
272,617,경기도
290,658,경기도
308,684,경기도
309,686,경기도
309,687,경기도
309,688,경기도
309,689,경기도
311,693,경기도
311,694,경기도
311,695,경기도
319,709,경기도
319,710,경기도
320,713,경기도
322,719,경기도
339,768,경기도
349,780,경기도
349,781,경기도
349,782,경기도
350,783,경기도
351,244925,경기도
351,244926,경기도
351,244927,경기도
352,792,경기도
